Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - CMP0045,Ordinary Non AC Seater 2+3,14:30,07h 00m,21:30,3.3,INR 383,52 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - BRT0007,Ordinary Non AC Seater 2+3,15:00,06h 15m,21:15,3.3,INR 390,52 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - MZF0115,Janrath AC Seater 2+2,15:31,05h 38m,21:09,3.3,INR 578,36 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - LNI0017,Rajdhani Non AC Seater 2+3,16:00,05h 30m,21:30,3.3,INR 390,51 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - BLY0143,Janrath AC Seater 2+3,16:20,06h 00m,22:20,3.3,INR 493,48 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - AWD0224,Shatabdi AC Seater 2+2,17:00,06h 15m,23:15,3.3,INR 570,38 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - GRH0126,Ordinary Non AC Seater 2+3,17:30,06h 46m,00:16,3.3,INR 390,52 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - SRG0095,Ordinary Non AC Seater 2+3,17:30,05h 36m,23:06,3.3,INR 390,52 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - SRG0745,Ordinary Non AC Seater 2+3,17:35,05h 35m,23:10,3.3,INR 390,52 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - MRD0148,Janrath AC Seater 2+2,18:03,05h 27m,23:30,3.3,INR 570,36 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - MZF0067,Janrath AC Seater 2+2,18:30,05h 45m,00:15,3.3,INR 578,35 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - BRT0037,Ordinary Non AC Seater 2+3,19:00,06h 15m,01:15,3.3,INR 390,52 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - SBD0113,Pink Express AC Seater 2+2,19:01,04h 29m,23:30,3.3,INR 570,41 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - SRD1025,Janrath AC Seater 2+2,19:32,05h 43m,01:15,3.3,INR 570,36 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - GND0100,Ordinary Non AC Seater 2+3,20:02,04h 58m,01:00,3.3,INR 396,52 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - RKD0036,Janrath AC Seater 2+2,20:30,05h 30m,02:00,3.3,INR 570,36 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - SBD0093,Janrath AC Seater 2+2,21:00,04h 25m,01:25,1.2,INR 570,34 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - CBG0092,Pink Express AC Seater 2+2,21:01,05h 44m,02:45,3.3,INR 570,36 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - SBD0118,Pink Express AC Seater 2+2,21:01,04h 24m,01:25,3.3,INR 570,41 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - SRG0033,Ordinary Non AC Seater 2+3,22:00,05h 36m,03:36,3.3,INR 390,52 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - MRD0007,Janrath AC Seater 2+2,22:00,06h 15m,04:15,3.3,INR 570,36 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - SBD0114,Pink Express AC Seater 2+2,22:01,04h 59m,03:00,3.3,INR 570,40 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - BLY0121,Janrath AC Seater 2+2,22:31,05h 29m,04:00,3.3,INR 570,36 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - SRG0102,Ordinary Non AC Seater 2+3,23:30,05h 36m,05:06,3.3,INR 390,52 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - RKD0032,Janrath AC Seater 2+2,23:30,05h 30m,05:00,4.3,INR 570,35 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,UPSRTC - BLY0123,Janrath AC Seater 2+2,23:56,05h 34m,05:30,2.8,INR 570,36 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,PTC-SKYBUS,A/C Seater/Sleeper (2+1),23:15,05h 05m,04:20,4.7,INR 699,13 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,Mahalaxmi Travels,A/C Seater/Sleeper (2+1),22:45,05h 05m,03:50,3.8,INR 849,13 Seats available
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly,Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:45,05h 30m,02:15,3.8,INR 1399,3 Seats available
